"lambda";"core.fluidState[1].h";"core.fluidState[2].h";"core.fluidState[3].h";"core.fluidState[4].h";"core.fluidState[5].h";"core.fluidState[6].h";"core.fluidState[7].h";"core.fluidState[8].h";"core1.fluidState[1].h";"core1.fluidState[1].p";"core1.fluidState[2].h";"core1.fluidState[3].h";"core1.fluidState[4].h";"core1.fluidState[5].h";"core1.fluidState[6].h";"core1.fluidState[7].h";"core1.fluidState[8].h";"primaryPump.inletFluidState.h";"primaryPump.w_single"
0;-254078.9816;-254074.2481;-254069.5147;-254064.7812;-254060.0477;-254055.3142;-254050.5807;-254045.8472;-254045.8472;216043.2076;-254050.5807;-254055.3142;-254060.0477;-254064.7812;-254069.5147;-254074.2481;-254078.9816;-254078.9816;1324.146205
0.1;-222661.6534;-222656.8554;-222652.0575;-222647.2595;-222642.4615;-222637.6636;-222632.8656;-222628.0677;-222628.0677;215739.7269;-222632.8656;-222637.6636;-222642.4615;-222647.2595;-222652.0575;-222656.8554;-222661.6534;-222661.6534;1146.974537
0.2;-484675.4352;-484670.43;-484665.4249;-484660.4197;-484655.4146;-484650.4095;-484645.4043;-484640.3992;-484640.3992;218270.6618;-484645.4043;-484650.4095;-484655.4146;-484660.4197;-484665.4249;-484670.43;-484675.4352;-484675.4352;965.4318972
0.3;-348544.2758;-348538.8585;-348533.4412;-348528.0239;-348522.6066;-348517.1892;-348511.7719;-348506.3546;-348506.3546;216955.6757;-348511.7719;-348517.1892;-348522.6066;-348528.0239;-348533.4412;-348538.8585;-348544.2758;-348544.2758;767.4771441
0.4;-15049.50612;-15043.33967;-15037.17322;-15031.00677;-15024.84032;-15018.67387;-15012.50742;-15006.34097;-15006.34097;213734.2269;-15012.50742;-15018.67387;-15024.84032;-15031.00677;-15037.17322;-15043.33967;-15049.50612;-15049.50612;555.2392185
0.5;-158946.3503;-158938.8354;-158931.3205;-158923.8057;-158916.2908;-158908.7759;-158901.261;-158893.7462;-158893.7462;215124.1567;-158901.261;-158908.7759;-158916.2908;-158923.8057;-158931.3205;-158938.8354;-158946.3503;-158946.3503;344.1876429
0.6;-13033691.43;-13033681.83;-13033672.23;-13033662.63;-13033653.03;-13033643.44;-13033633.84;-13033624.24;-13033624.24;339488.7008;-13033633.84;-13033643.44;-13033653.03;-13033662.63;-13033672.23;-13033681.83;-13033691.43;-13033691.43;205.7049714
0.7;15936104.29;15936120.07;15936135.85;15936151.63;15936167.4;15936183.18;15936198.96;15936214.74;15936233.6;59652.22403;15936217.82;15936202.05;15936186.27;15936170.49;15936154.71;15936138.93;15936123.16;15936121;7.782057245e-018
0.8;14196539.42;14196563.09;14196586.76;14196610.42;14196634.09;14196657.76;14196681.42;14196705.09;14196705.09;76455.5606;14196681.42;14196657.76;14196634.09;14196610.42;14196586.76;14196563.09;14196539.42;14196539.42;0.0195006208
0.9;12842169.02;12842216.35;12842263.69;12842311.02;12842358.36;12842405.69;12842453.03;12842500.36;12841613.31;89545.84451;12841565.97;12841518.64;12841471.3;12841423.97;12841376.63;12841329.3;12841281.96;12842122.91;-2.506345469e-022
